captured_at,sport,year,week,event_id,play_id,period,clock,play_text,down,distance,possession,yard_line,score_margin,home,away,home_score,away_score,home_win_prob,away_win_prob,home_pass_yds,home_rush_yds,home_total_yds,away_pass_yds,away_rush_yds,away_total_yds,market_type,market,selection,player,line,book_id,book_price,model_projection,model_price,model_prob,actual_result,actual_stat,bet_result,expected_roi_pct,pregame_line,pregame_book_price,pregame_projection,pregame_capture_at,pregame_capture_type
2026-09-19T22:48:56.970275+00:00,cfb,2026,3,401862771,4018627713,1,14:55,(14:59) #48 R.Czeremcha kickoff 61 yards to the FAU04 #3 T.Holloway return 19 yards to the FAU23 (#18 P.Stewart),1,10,FAU 45,65,0,Florida Atlantic Owls,Florida International Panthers,0,0,70.5,29.5,31.0,24.0,55.0,84.0,31.0,115.0,game,Spread,Florida International,,8.5,kalshi,-258.0,-3.3,—,,0,,hit,,,,-3.8,,
2026-09-19T22:48:56.970275+00:00,cfb,2026,3,401862771,4018627713,1,14:55,(14:59) #48 R.Czeremcha kickoff 61 yards to the FAU04 #3 T.Holloway return 19 yards to the FAU23 (#18 P.Stewart),1,10,FAU 45,65,0,Florida Atlantic Owls,Florida International Panthers,0,0,70.5,29.5,31.0,24.0,55.0,84.0,31.0,115.0,game,Spread,Florida Atlantic,,-8.5,kalshi,-118.0,-3.3,—,,0,,miss,,,,-3.8,,
2026-09-19T22:48:56.970275+00:00,cfb,2026,3,401862771,4018627713,1,14:55,(14:59) #48 R.Czeremcha kickoff 61 yards to the FAU04 #3 T.Holloway return 19 yards to the FAU23 (#18 P.Stewart),1,10,FAU 45,65,0,Florida Atlantic Owls,Florida International Panthers,0,0,70.5,29.5,31.0,24.0,55.0,84.0,31.0,115.0,game,Total,Over,,52.5,kalshi,-300.0,61.7,-241,0.7063,0.0,,miss,,,,62.5,,
2026-09-19T22:48:56.970275+00:00,cfb,2026,3,401862771,4018627713,1,14:55,(14:59) #48 R.Czeremcha kickoff 61 yards to the FAU04 #3 T.Holloway return 19 yards to the FAU23 (#18 P.Stewart),1,10,FAU 45,65,0,Florida Atlantic Owls,Florida International Panthers,0,0,70.5,29.5,31.0,24.0,55.0,84.0,31.0,115.0,game,Total,Under,,52.5,kalshi,-123.0,61.7,+241,0.2937,0.0,,hit,,,,62.5,,
2026-09-19T22:48:56.970275+00:00,cfb,2026,3,401862771,4018627713,1,14:55,(14:59) #48 R.Czeremcha kickoff 61 yards to the FAU04 #3 T.Holloway return 19 yards to the FAU23 (#18 P.Stewart),1,10,FAU 45,65,0,Florida Atlantic Owls,Florida International Panthers,0,0,70.5,29.5,31.0,24.0,55.0,84.0,31.0,115.0,game,ML,Florida International,,,polymarketus,365.0,—,—,,Loss,,miss,,,,—,,
2026-09-19T22:48:56.970275+00:00,cfb,2026,3,401862771,4018627713,1,14:55,(14:59) #48 R.Czeremcha kickoff 61 yards to the FAU04 #3 T.Holloway return 19 yards to the FAU23 (#18 P.Stewart),1,10,FAU 45,65,0,Florida Atlantic Owls,Florida International Panthers,0,0,70.5,29.5,31.0,24.0,55.0,84.0,31.0,115.0,game,ML,Florida Atlantic,,,polymarketus,-377.0,—,—,,Loss,,miss,-27.1,,,—,,
2026-09-19T22:48:56.970275+00:00,cfb,2026,3,401862771,401862771191,1,14:52,(14:55) No Huddle-Shotgun #5 L.Farrow rush middle for 3 yards gain to the FIU06 (#9 J.Taylor; #18 P.Stewart),1,9,FIU 9,91,7,Florida Atlantic Owls,Florida International Panthers,7,0,70.5,29.5,31.0,24.0,55.0,84.0,31.0,115.0,game,Spread,Florida International,,8.5,kalshi,-258.0,-11.3,—,,+7,,hit,,,,-3.8,,
2026-09-19T22:48:56.970275+00:00,cfb,2026,3,401862771,401862771191,1,14:52,(14:55) No Huddle-Shotgun #5 L.Farrow rush middle for 3 yards gain to the FIU06 (#9 J.Taylor; #18 P.Stewart),1,9,FIU 9,91,7,Florida Atlantic Owls,Florida International Panthers,7,0,70.5,29.5,31.0,24.0,55.0,84.0,31.0,115.0,game,Spread,Florida Atlantic,,-8.5,kalshi,-118.0,-11.3,—,,+7,,miss,,,,-3.8,,
2026-09-19T22:48:56.970275+00:00,cfb,2026,3,401862771,401862771191,1,14:52,(14:55) No Huddle-Shotgun #5 L.Farrow rush middle for 3 yards gain to the FIU06 (#9 J.Taylor; #18 P.Stewart),1,9,FIU 9,91,7,Florida Atlantic Owls,Florida International Panthers,7,0,70.5,29.5,31.0,24.0,55.0,84.0,31.0,115.0,game,Total,Over,,52.5,kalshi,-300.0,68.7,-603,0.8577,7.0,,miss,,,,62.5,,
2026-09-19T22:48:56.970275+00:00,cfb,2026,3,401862771,401862771191,1,14:52,(14:55) No Huddle-Shotgun #5 L.Farrow rush middle for 3 yards gain to the FIU06 (#9 J.Taylor; #18 P.Stewart),1,9,FIU 9,91,7,Florida Atlantic Owls,Florida International Panthers,7,0,70.5,29.5,31.0,24.0,55.0,84.0,31.0,115.0,game,Total,Under,,52.5,kalshi,-123.0,68.7,+603,0.1423,7.0,,hit,,,,62.5,,
