captured_at,event_id,play_id,game,matched_odds_game,market,sportsbook,selection,target,side,line,odds,link
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Moneyline,prophetx,Washington Nationals Moneyline,Washington Nationals,,,+4800,
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Moneyline,kalshi,Washington Nationals Moneyline,Washington Nationals,,,+9246,
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Moneyline,novig,Washington Nationals Moneyline,Washington Nationals,,,+99900,https://novig.com/events/019f7136-993b-7a00-8f71-89edbd1fe65b/%7Bwager%7D
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Spread,prophetx,Washington Nationals 7.5 Spread,Washington Nationals,,7.5,+120,
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Spread,polymarket,Washington Nationals 1.5 Spread,Washington Nationals,,1.5,+3233,
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Spread,kalshi,Washington Nationals 1.5 Spread,Washington Nationals,,1.5,+9246,
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Spread,kalshi,Washington Nationals 2.5 Spread,Washington Nationals,,2.5,+9246,
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Spread,kalshi,Washington Nationals 3.5 Spread,Washington Nationals,,3.5,+9246,
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Spread,kalshi,Washington Nationals -1.5 Spread,Washington Nationals,,-1.5,+9246,
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Spread,kalshi,Washington Nationals -2.5 Spread,Washington Nationals,,-2.5,+9246,
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Spread,kalshi,Washington Nationals -3.5 Spread,Washington Nationals,,-3.5,+9246,
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Spread,kalshi,Washington Nationals 5.5 Spread,Washington Nationals,,5.5,+9246,
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Spread,kalshi,Washington Nationals 4.5 Spread,Washington Nationals,,4.5,+9246,
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Spread,kalshi,Washington Nationals 7.5 Spread,Washington Nationals,,7.5,+3015,
2026-07-19T04:37:54.911Z,401816170,4018161700000000059,Washington Nationals at Athletics Athletics,"Oakland Athletics vs Washington Nationals, 2026-07-18",Spread,kalshi,Washington Nationals 6.5 Spread,Washington Nationals,,6.5,+9246,
